Region,Year,Deaths,DeathsMale,DeathsFemale,NormalizedDeaths
Europe,1959,5805.595,2944.327,2861.2610000000004,0.8983648804268136
Europe,1960,5773.39,2933.7330000000006,2839.657,0.893381439285269
Europe,1961,5738.912,2917.0609999999997,2821.8459999999995,0.8880462713399756
Europe,1962,6013.309000000001,3051.151,2962.156,0.9305067991746725
Europe,1963,6020.752,3057.563,2963.195,0.9316585381101332
Europe,1964,5833.077,2968.703,2864.3779999999997,0.9026174787640882
Europe,1965,6048.401,3072.479,2975.918,0.935936978231933
Europe,1966,6064.515,3081.8859999999995,2982.6299999999997,0.9384304783267895
Europe,1967,6194.344,3149.723,3044.6250000000005,0.9585203767886926
Europe,1968,6417.309000000001,3262.359,3154.951,0.9930222539544896
Europe,1969,6642.151000000001,3389.3859999999995,3252.763,1.027814580399053
Europe,1970,6591.861,3350.007,3241.8570000000004,1.0200326442087633
Europe,1971,6664.663999999999,3390.7470000000003,3273.915,1.0312982695907806
Europe,1972,6689.437,3394.1280000000006,3295.3120000000004,1.0351316739503362
Europe,1973,6804.173,3441.269,3362.9049999999997,1.0528860631078043
Europe,1974,6807.799000000001,3448.801,3359.001,1.0534471547885758
Europe,1975,6998.714,3554.797,3443.912,1.0829895757026569
Europe,1976,7075.327,3590.459,3484.865,1.0948447651507909
Europe,1977,7029.214000000001,3585.465,3443.754,1.0877091830560837
Europe,1978,7173.13,3659.426,3513.706,1.1099789211503712
Europe,1979,7258.440999999999,3699.593,3558.844,1.1231800497709674
Europe,1980,7412.212999999999,3769.883,3642.3369999999995,1.146974917375923
Europe,1981,7393.631,3748.834999999999,3644.798,1.144099515938501
Europe,1982,7363.1410000000005,3722.8450000000003,3640.299,1.1393814559973214
Europe,1983,7551.467,3809.284,3742.1820000000002,1.1685232518806477
Europe,1984,7574.241000000001,3820.606,3753.641,1.172047328532023
Europe,1985,7692.244000000001,3839.6479999999997,3852.599,1.1903072572705942
Europe,1986,7413.0560000000005,3681.2560000000003,3731.8030000000003,1.1471053642283475
Europe,1987,7396.96,3674.141,3722.82,1.1446146494755358
Europe,1988,7465.332,3703.246,3762.0879999999997,1.1551946164908964
Europe,1989,7517.4400000000005,3753.4850000000006,3763.9509999999996,1.1632578722276952
Europe,1990,7670.6359999999995,3841.1020000000003,3829.5290000000005,1.186963608887222
Europe,1991,7785.98,3913.4649999999997,3872.5119999999997,1.204812080709309
Europe,1992,7925.4439999999995,4028.4809999999998,3896.9649999999997,1.226392910871221
Europe,1993,8402.268000000002,4289.057000000001,4113.216,1.3001772405987748
Europe,1994,8482.076,4356.370999999999,4125.709,1.3125268282598328
Europe,1995,8542.882,4387.967000000001,4154.911,1.3219360231690942
Europe,1996,8384.117,4264.084000000001,4120.032,1.297368532629199
